Angle (radians),Range
-3.1416,0
-3.1361,11.928
-3.1307,11.928
-3.1252,11.928
-3.1198,11.928
-3.1143,11.88
-3.1089,11.88
-3.1034,11.88
-3.098,11.88
-3.0925,11.88
-3.0871,11.88
-3.0816,11.936
-3.0761,11.936
-3.0707,7.376
-3.0652,7.376
-3.0598,7.376
-3.0543,7.32
-3.0489,7.32
-3.0434,7.288
-3.038,7.288
-3.0325,7.272
-3.0271,7.272
-3.0216,7.264
-3.0161,7.264
-3.0107,7.248
-3.0052,7.248
-2.9998,7.232
-2.9943,7.232
-2.9889,7.224
-2.9834,7.224
-2.978,7.208
-2.9725,7.208
-2.9671,7.192
-2.9616,7.192
-2.9562,7.496
-2.9507,7.496
-2.9452,7.504
-2.9398,7.504
-2.9343,7.504
-2.9289,7.504
-2.9234,7.48
-2.918,7.48
-2.9125,0
-2.9071,0
-2.9016,0
-2.8962,0
-2.8907,0
-2.8852,0
-2.8798,0
-2.8743,0
-2.8689,0
-2.8634,0
-2.858,0
-2.8525,0
-2.8471,0
-2.8416,0
-2.8362,0
-2.8307,0
-2.8253,0
-2.8198,0
-2.8143,0
-2.8089,4.344
-2.8034,4.344
-2.798,4.344
-2.7925,4.344
-2.7871,4.232
-2.7816,4.232
-2.7762,4.232
-2.7707,4.232
-2.7653,4.112
-2.7598,4.112
-2.7543,4.0
-2.7489,4.0
-2.7434,3.76
-2.738,3.76
-2.7325,3.76
-2.7271,3.76
-2.7216,3.66
-2.7162,3.66
-2.7107,3.568
-2.7053,3.568
-2.6998,3.476
-2.6944,3.476
-2.6889,3.384
-2.6834,3.384
-2.678,3.308
-2.6725,3.308
-2.6671,3.236
-2.6616,3.236
-2.6562,3.164
-2.6507,3.164
-2.6453,3.092
-2.6398,3.092
-2.6344,3.028
-2.6289,3.028
-2.6234,2.972
-2.618,2.972
-2.6125,2.912
-2.6071,2.912
-2.6016,2.852
-2.5962,2.852
-2.5907,0
-2.5853,1.726
-2.5798,1.726
-2.5744,1.726
-2.5689,1.726
-2.5635,0
-2.558,0
-2.5525,0
-2.5471,0
-2.5416,0
-2.5362,0
-2.5307,0
-2.5253,0
-2.5198,2.396
-2.5144,2.396
-2.5089,2.396
-2.5035,2.396
-2.498,2.36
-2.4925,2.36
-2.4871,2.36
-2.4816,2.36
-2.4762,2.328
-2.4707,2.328
-2.4653,2.292
-2.4598,2.292
-2.4544,2.26
-2.4489,2.26
-2.4435,2.232
-2.438,2.232
-2.4326,2.196
-2.4271,2.196
-2.4216,2.168
-2.4162,2.168
-2.4107,2.144
-2.4053,2.144
-2.3998,2.116
-2.3944,2.116
-2.3889,2.064
-2.3835,2.064
-2.378,2.038
-2.3726,2.038
-2.3671,2.036
-2.3616,2.036
-2.3562,2.014
-2.3507,2.014
-2.3453,2.006
-2.3398,2.006
-2.3344,0
-2.3289,0
-2.3235,0
-2.318,0
-2.3126,0
-2.3071,0
-2.3017,0
-2.2962,0
-2.2907,0
-2.2853,0
-2.2798,0
-2.2744,0
-2.2689,0
-2.2635,0
-2.258,0
-2.2526,0
-2.2471,0
-2.2417,0
-2.2362,0
-2.2307,0
-2.2253,0
-2.2198,0
-2.2144,0
-2.2089,0
-2.2035,0
-2.198,0
-2.1926,0.518
-2.1871,0.518
-2.1817,0.518
-2.1762,0.518
-2.1708,0.51
-2.1653,0.505
-2.1598,0.505
-2.1544,0.501
-2.1489,0.501
-2.1435,0.497
-2.138,0.497
-2.1326,0.495
-2.1271,0.495
-2.1217,0.495
-2.1162,0.495
-2.1108,0.494
-2.1053,0.494
-2.0998,0.495
-2.0944,0.495
-2.0889,0.496
-2.0835,0.496
-2.078,0.498
-2.0726,0.498
-2.0671,0.501
-2.0617,0.501
-2.0562,0.508
-2.0508,0.508
-2.0453,0.517
-2.0399,0.517
-2.0344,0
-2.0289,0.542
-2.0235,0.542
-2.018,0.542
-2.0126,0.542
-2.0071,0.574
-2.0017,0.574
-1.9962,0.574
-1.9908,0.574
-1.9853,0.62
-1.9799,0.62
-1.9744,0.62
-1.9689,0.634
-1.9635,0.634
-1.958,0.634
-1.9526,0.634
-1.9471,0.646
-1.9417,0.646
-1.9362,0.656
-1.9308,0.656
-1.9253,0.664
-1.9199,0.664
-1.9144,0.668
-1.909,0.668
-1.9035,0.676
-1.898,0.676
-1.8926,0.682
-1.8871,0.682
-1.8817,0.682
-1.8762,0.682
-1.8708,0.682
-1.8653,0.682
-1.8599,0
-1.8544,0.786
-1.849,0.786
-1.8435,0.786
-1.838,0.786
-1.8326,0.794
-1.8271,0.794
-1.8217,0
-1.8162,0
-1.8108,0
-1.8053,0
-1.7999,0
-1.7944,7.288
-1.789,7.288
-1.7835,7.288
-1.7781,7.288
-1.7726,0
-1.7671,0
-1.7617,7.288
-1.7562,7.288
-1.7508,7.288
-1.7453,7.288
-1.7399,7.344
-1.7344,7.344
-1.729,7.376
-1.7235,7.376
-1.7181,7.096
-1.7126,7.096
-1.7072,7.144
-1.7017,7.144
-1.6962,7.144
-1.6908,7.144
-1.6853,7.216
-1.6799,7.216
-1.6744,7.192
-1.669,7.192
-1.6635,7.192
-1.6581,7.192
-1.6526,7.12
-1.6472,7.12
-1.6417,7.08
-1.6362,7.08
-1.6308,7.08
-1.6253,7.08
-1.6199,7.136
-1.6144,7.136
-1.609,7.152
-1.6035,7.152
-1.5981,7.112
-1.5926,7.112
-1.5872,7.144
-1.5817,7.144
-1.5763,7.152
-1.5708,7.152
-1.5653,7.112
-1.5599,7.112
-1.5544,7.096
-1.549,7.096
-1.5435,6.976
-1.5381,6.976
-1.5326,6.976
-1.5272,6.976
-1.5217,6.912
-1.5163,6.912
-1.5108,0
-1.5053,0
-1.4999,6.968
-1.4944,6.968
-1.489,6.968
-1.4835,6.968
-1.4781,6.96
-1.4726,6.96
-1.4672,6.904
-1.4617,6.904
-1.4563,6.64
-1.4508,6.64
-1.4454,6.68
-1.4399,6.68
-1.4344,6.68
-1.429,6.68
-1.4235,6.744
-1.4181,6.744
-1.4126,6.744
-1.4072,6.744
-1.4017,6.728
-1.3963,6.728
-1.3908,6.76
-1.3854,6.76
-1.3799,6.672
-1.3744,6.672
-1.369,0
-1.3635,0
-1.3581,0
-1.3526,0
-1.3472,0
-1.3417,0
-1.3363,0
-1.3308,0
-1.3254,0
-1.3199,0
-1.3145,0
-1.309,2.5
-1.3035,2.5
-1.2981,2.5
-1.2926,2.5
-1.2872,0
-1.2817,0
-1.2763,2.468
-1.2708,2.468
-1.2654,2.468
-1.2599,2.468
-1.2545,2.444
-1.249,2.444
-1.2435,2.432
-1.2381,2.432
-1.2326,2.428
-1.2272,2.428
-1.2217,2.424
-1.2163,2.424
-1.2108,2.428
-1.2054,2.428
-1.1999,2.432
-1.1945,2.44
-1.189,2.44
-1.1836,2.464
-1.1781,2.464
-1.1726,2.464
-1.1672,2.496
-1.1617,2.496
-1.1563,2.684
-1.1508,2.684
